timestamp,data
0,21.0
1000,34.0
2000,69.0
3000,55.0
4000,51.0
5000,54.0
6000,53.0
7000,52.0
8000,40.0
9000,45.0
10000,46.0
11000,40.0
12000,45.0
13000,50.0
14000,41.0
15000,48.0
16000,41.0
17000,55.0
18000,49.0
19000,40.0
20000,50.0
21000,47.0
22000,49.0
23000,52.0
24000,42.0
25000,41.0
26000,47.0
27000,45.0
28000,46.0
29000,55.0
30000,39.0
31000,46.0
32000,45.0
33000,42.0
34000,35.0
35000,44.0
36000,38.0
37000,48.0
38000,27.0
39000,42.0
40000,41.0
41000,46.0
42000,41.0
43000,53.0
44000,40.0
45000,49.0
46000,42.0
47000,44.0
48000,48.0
49000,49.0
50000,46.0
51000,44.0
52000,38.0
53000,47.0
54000,44.0
55000,31.0
56000,39.0
57000,33.0
58000,47.0
59000,38.0
60000,41.0
61000,44.0
62000,45.0
63000,40.0
64000,59.0
65000,45.0
66000,37.0
67000,59.0
68000,41.0
69000,37.0
70000,55.0
71000,43.0
72000,47.0
73000,46.0
74000,57.0
75000,39.0
76000,41.0
77000,30.0
78000,47.0
79000,37.0
80000,33.0
81000,46.0
82000,41.0
83000,57.0
84000,34.0
85000,52.0
86000,41.0
87000,41.0
88000,35.0
89000,40.0
90000,46.0
91000,48.0
92000,31.0
93000,36.0
94000,32.0
95000,42.0
96000,30.0
97000,36.0
98000,38.0
99000,28.0
100000,43.0
101000,32.0
102000,33.0
103000,40.0
104000,33.0
105000,46.0
106000,44.0
107000,48.0
108000,34.0
109000,52.0
110000,40.0
111000,37.0
112000,44.0
113000,34.0
114000,45.0
115000,32.0
116000,37.0
117000,39.0
118000,43.0
119000,34.0
120000,46.0
121000,31.0
122000,41.0
123000,37.0
124000,40.0
125000,43.0
126000,36.0
127000,43.0
128000,39.0
129000,32.0
130000,37.0
131000,32.0
132000,29.0
133000,36.0
134000,38.0
135000,31.0
136000,48.0
137000,36.0
138000,30.0
139000,30.0
140000,27.0
141000,41.0
142000,44.0
143000,36.0
144000,29.0
145000,25.0
146000,31.0
147000,31.0
148000,34.0
149000,41.0
150000,41.0
151000,40.0
152000,39.0
153000,36.0
154000,36.0
155000,32.0
156000,41.0
157000,33.0
158000,46.0
159000,31.0
160000,35.0
161000,46.0
162000,39.0
163000,36.0
164000,41.0
165000,32.0
166000,37.0
167000,48.0
168000,43.0
169000,34.0
170000,29.0
171000,47.0
172000,45.0
173000,33.0
174000,23.0
175000,44.0
176000,30.0
177000,36.0
178000,41.0
179000,38.0
180000,35.0
181000,43.0
182000,35.0
183000,32.0
184000,47.0
